Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BSE,EQ,25-Mar-21,559.3,559.3,562.15,535.5,536.4,540,544.53,376573,205055690.8,14648
BSE,EQ,26-Mar-21,540,542,554.8,542,552.5,552.9,548.74,309273,169710356.7,9238
BSE,EQ,30-Mar-21,552.9,554,575.75,552.35,564.8,566.15,561.6,405295,227612988.5,16995
BSE,EQ,31-Mar-21,566.15,568,576.15,562.2,568.1,571.1,569.38,248142,141287736.9,9597
BSE,EQ,01-Apr-21,571.1,572,587.95,568,583,583.55,579.35,207585,120263734.9,6345
BSE,EQ,05-Apr-21,583.55,583,583,559.3,563.8,564,565.56,253508,143375126.2,8605
BSE,EQ,06-Apr-21,564,564.3,597,561.05,584.8,586.05,586.73,820791,481580131.5,26276
BSE,EQ,07-Apr-21,586.05,586.05,621.95,583.05,604,606.45,607.52,1446971,879060596.1,42050
BSE,EQ,08-Apr-21,606.45,607,614,601.6,603,604.3,607.86,467169,283971139.3,14326
BSE,EQ,09-Apr-21,604.3,604.3,614.5,597,609.95,609.65,604.45,283454,171334871,8809
BSE,EQ,12-Apr-21,609.65,595.6,595.65,570.5,573,575.3,579.58,396440,229769273.3,16939
BSE,EQ,13-Apr-21,575.3,579.85,581.65,563.3,571.5,572.2,574.31,262149,150554628.3,7497
BSE,EQ,15-Apr-21,572.2,568,603,568,590.9,591.5,584.74,246573,144181664.4,9605
BSE,EQ,16-Apr-21,591.5,591.3,602.7,587.25,588.5,590.8,596.76,312711,186613261.4,9199
BSE,EQ,19-Apr-21,590.8,570,578.35,565,569.2,572.7,571.74,270591,154707603.8,8923
BSE,EQ,20-Apr-21,572.7,578,598.9,577,590.55,591.65,590.83,418387,247197446.2,14218
BSE,EQ,22-Apr-21,591.65,590.55,609.8,583.7,599,600.85,601.79,462307,278210155,14419
BSE,EQ,23-Apr-21,600.85,600,607.5,595,596,598.45,601.81,203930,122728106.7,10624
BSE,EQ,26-Apr-21,598.45,600.1,606.9,595.1,596,600.1,601.36,175460,105515093.8,4971
BSE,EQ,27-Apr-21,600.1,600.05,622,598.2,615.5,617.9,615.34,764990,470726506.6,20314
BSE,EQ,28-Apr-21,617.9,619,624.25,614,614.9,618.6,620.5,471858,292788160.1,11933
BSE,EQ,29-Apr-21,618.6,619.05,624.9,602.25,604.5,605.4,612.17,195071,119417100.9,6866
BSE,EQ,30-Apr-21,605.4,602,613.5,594.95,600,600.65,604.18,209734,126717113,6457
BSE,EQ,03-May-21,600.65,596,622,594,615,617.65,614.19,388720,238748249.7,12559
BSE,EQ,04-May-21,617.65,625.1,641.75,615.5,621,620.95,630.1,1206428,760174256.6,31720
BSE,EQ,05-May-21,620.95,629.85,630,619,625,625.9,624.79,240502,150262194.4,7018
BSE,EQ,06-May-21,625.9,626,693,623.1,687,683,667.94,3564501,2380881257,99287
BSE,EQ,07-May-21,683,690.5,723.95,690,698,701.9,707.38,2627289,1858490121,65648
BSE,EQ,10-May-21,701.9,710.2,716.6,695,698,698.6,704.82,513413,361862514.5,17834
BSE,EQ,11-May-21,698.6,685,716,682.1,707,706.7,701.59,675239,473737614.3,29109
BSE,EQ,12-May-21,706.7,710,749.45,709,735.25,735.8,736.07,1910024,1405909497,54925
